,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation status,Upregulated,Downregulated,Not significant
ENSCSAG00000019016.1,41.11789954,15.87596319,3.406837517,4.660029459,3.16E-06,0.059486281,Not Significant,0,0,18845
ENSCSAG00000004264.1_HBB,374.3303385,-1.832146738,0.476546289,-3.844635413,0.000120732,0.914757071,Not Significant,0,0,
ENSCSAG00000004509.1_AVPR1A,126.5693994,-1.004926672,0.272386888,-3.689335704,0.00022484,0.914757071,Not Significant,0,0,
ENSCSAG00000012632.1_TNFRSF21,160.3129844,-0.603474468,0.165140597,-3.654307165,0.000257877,0.914757071,Not Significant,0,0,
ENSCSAG00000013161.1_CA1,13.66995174,-1.681816364,0.4538812,-3.705410939,0.000211048,0.914757071,Not Significant,0,0,
ENSCSAG00000015912.1_DHRS4,1259.186125,0.645916577,0.178304303,3.62255182,0.000291711,0.914757071,Not Significant,0,0,
ENSCSAG00000000844.1_HSPB7,5.156722335,-2.355613905,0.65777846,-3.581166072,0.000342064,0.919419518,Not Significant,0,0,
ENSCSAG00000008404.1_IHH,65.20812632,-1.179677928,0.332786235,-3.54485193,0.000392834,0.923895751,Not Significant,0,0,
ENSCSAG00000012186.1_MFSD1,381.5180338,-0.598198577,0.170442178,-3.509686294,0.000448636,0.937897766,Not Significant,0,0,
ENSCSAG00000002757.1_NNMT,1419.460578,-1.10812956,0.321932273,-3.44212014,0.000577174,0.940091644,Not Significant,0,0,
ENSCSAG00000003773.1_TENM4,19.99085462,-1.99631213,0.581709203,-3.431804275,0.00059958,0.940091644,Not Significant,0,0,
ENSCSAG00000013100.1,234.6770631,-1.582600022,0.45608579,-3.469961255,0.000520533,0.940091644,Not Significant,0,0,
ENSCSAG00000000010.1_MT-ND2,119866.4369,-0.834937104,0.773377876,-1.079597866,0.280321292,1,Not Significant,0,0,
ENSCSAG00000000016.1_COX1,404365.236,-0.712754608,0.571609508,-1.246925739,0.212424728,1,Not Significant,0,0,
ENSCSAG00000000019.1_COX2,196134.8645,-1.008885451,0.683169895,-1.476770945,0.139737047,1,Not Significant,0,0,
